
2023/06/27 (11:20:18) | ===> btop++ v.1.2.5
2023/06/27 (11:20:18) | INFO: Logger set to DEBUG
2023/06/27 (11:20:18) | DEBUG: Using locale fr_FR.UTF-8
2023/06/27 (11:20:18) | INFO: Running on /dev/pts/3
2023/06/27 (11:20:18) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/06/28 (10:45:23) | ===> btop++ v.1.2.5
2023/06/28 (10:45:23) | INFO: Logger set to DEBUG
2023/06/28 (10:45:23) | DEBUG: Using locale fr_FR.UTF-8
2023/06/28 (10:45:23) | INFO: Running on /dev/pts/3
2023/06/28 (10:45:23) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/06/28 (10:48:50) | ===> btop++ v.1.2.5
2023/06/28 (10:48:50) | INFO: Logger set to DEBUG
2023/06/28 (10:48:50) | DEBUG: Using locale fr_FR.UTF-8
2023/06/28 (10:48:50) | INFO: Running on /dev/pts/3
2023/06/28 (10:48:50) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/06/30 (14:10:09) | ===> btop++ v.1.2.5
2023/06/30 (14:10:09) | INFO: Logger set to DEBUG
2023/06/30 (14:10:09) | DEBUG: Using locale fr_FR.UTF-8
2023/06/30 (14:10:09) | INFO: Running on /dev/pts/2
2023/06/30 (14:10:09) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/08/01 (15:16:13) | ===> btop++ v.1.2.5
2023/08/01 (15:16:13) | INFO: Logger set to DEBUG
2023/08/01 (15:16:13) | DEBUG: Using locale en_US.UTF-8
2023/08/01 (15:16:13) | INFO: Running on /dev/pts/6
2023/08/01 (15:16:13) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/08/04 (16:11:09) | ===> btop++ v.1.2.5
2023/08/04 (16:11:09) | INFO: Logger set to DEBUG
2023/08/04 (16:11:09) | DEBUG: Using locale en_US.UTF-8
2023/08/04 (16:11:09) | INFO: Running on /dev/pts/4
2023/08/04 (16:11:09) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/09/11 (15:12:47) | ===> btop++ v.1.2.5
2023/09/11 (15:12:47) | INFO: Logger set to DEBUG
2023/09/11 (15:12:47) | DEBUG: Using locale en_US.UTF-8
2023/09/11 (15:12:47) | INFO: Running on /dev/pts/0
2023/09/11 (15:12:47) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/09/21 (16:30:30) | ===> btop++ v.1.2.5
2023/09/21 (16:30:30) | INFO: Logger set to DEBUG
2023/09/21 (16:30:30) | DEBUG: Using locale en_US.UTF-8
2023/09/21 (16:30:30) | INFO: Running on /dev/pts/5
2023/09/21 (16:30:30) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/09/21 (16:34:17) | ===> btop++ v.1.2.5
2023/09/21 (16:34:17) | INFO: Logger set to DEBUG
2023/09/21 (16:34:17) | DEBUG: Using locale en_US.UTF-8
2023/09/21 (16:34:17) | INFO: Running on /dev/pts/4
2023/09/21 (16:34:17) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/09/21 (16:35:50) | ===> btop++ v.1.2.5
2023/09/21 (16:35:50) | INFO: Logger set to DEBUG
2023/09/21 (16:35:50) | DEBUG: Using locale en_US.UTF-8
2023/09/21 (16:35:50) | INFO: Running on /dev/pts/4
